"","x","m","loc","dens"
"261","A","i",24.5871201126951,-0.0283478932707431
"262","A","i",24.7175912488496,-0.0281938095676996
"263","A","i",24.8480623850041,-0.0280355264362048
"264","A","i",24.9785335211585,-0.0278734566913995
"265","A","i",25.109004657313,-0.0277091907255687
"266","A","i",25.2394757934675,-0.0275421170766212
"267","A","i",25.369946929622,-0.0273726488979114
"268","A","i",25.5004180657764,-0.0272019210397876
"269","A","i",25.6308892019309,-0.027029709673832
"270","A","i",25.7613603380854,-0.0268565015118662
"271","A","i",25.8918314742399,-0.0266829348271193
"272","A","i",26.0223026103943,-0.0265091068695257
"273","A","i",26.1527737465488,-0.0263356434213568
"274","A","i",26.2832448827033,-0.0261626625749102
"275","A","i",26.4137160188577,-0.0259905131823064
"276","A","i",26.5441871550122,-0.0258200142537824
"277","A","i",26.6746582911667,-0.0256507582893102
"278","A","i",26.8051294273212,-0.0254832768867768
"279","A","i",26.9356005634756,-0.0253186224245172
"280","A","i",27.0660716996301,-0.0251558743950117
"281","A","i",27.1965428357846,-0.0249956820234662
"282","A","i",27.3270139719391,-0.0248393556194825
"283","A","i",27.4574851080935,-0.0246854911160481
"284","A","i",27.587956244248,-0.0245347965395164
"285","A","i",27.7184273804025,-0.0243888486973219
"286","A","i",27.848898516557,-0.0242458042872326
"287","A","i",27.9793696527114,-0.0241063794966004
"288","A","i",28.1098407888659,-0.0239724108717691
"289","A","i",28.2403119250204,-0.0238416723767466
"290","A","i",28.3707830611748,-0.0237148470927332
"291","A","i",28.5012541973293,-0.02359401085222
"292","A","i",28.6317253334838,-0.023476620343794
"293","A","i",28.7621964696383,-0.0233632941342669
"294","A","i",28.8926676057927,-0.0232563155882268
"295","A","i",29.0231387419472,-0.0231528950191302
"296","A","i",29.1536098781017,-0.0230535647697171
"297","A","i",29.2840810142562,-0.0229607755833605
"298","A","i",29.4145521504106,-0.0228715641761223
"299","A","i",29.5450232865651,-0.0227863639458872
"300","A","i",29.6754944227196,-0.0227077475925705
"301","A","i",29.805965558874,-0.0226326495204017
"302","A","i",29.9364366950285,-0.0225613993204931
"303","A","i",30.066907831183,-0.0224966440301736
"304","A","i",30.1973789673375,-0.0224352825853209
"305","A","i",30.3278501034919,-0.0223775423650875
"306","A","i",30.4583212396464,-0.0223260976742559
"307","A","i",30.5887923758009,-0.0222778720394559
"308","A","i",30.7192635119554,-0.0222329971592526
"309","A","i",30.8497346481098,-0.02219413027825
"310","A","i",30.9802057842643,-0.0221582711910197
"311","A","i",31.1106769204188,-0.0221254658919254
"312","A","i",31.2411480565733,-0.0220983144517911
"313","A","i",31.3716191927277,-0.0220739354528493
"314","A","i",31.5020903288822,-0.0220523257679695
"315","A","i",31.6325614650367,-0.0220359195565661
"316","A","i",31.7630326011911,-0.0220220611005114
"317","A","i",31.8935037373456,-0.0220107226095727
"318","A","i",32.0239748735001,-0.0220040342423142
"319","A","i",32.1544460096546,-0.0219996986675911
"320","A","i",32.284917145809,-0.0219976277377392
"321","A","i",32.4153882819635,-0.0219996604601319
"322","A","i",32.545859418118,-0.0220038366077656
"323","A","i",32.6763305542725,-0.022010020977549
"324","A","i",32.8068016904269,-0.0220197761614646
"325","A","i",32.9372728265814,-0.0220314532398475
"326","A","i",33.0677439627359,-0.0220448831262382
"327","A","i",33.1982150988904,-0.0220613662544031
"328","A","i",33.3286862350448,-0.0220795373176768
"329","A","i",33.4591573711993,-0.0220992063322597
"330","A","i",33.5896285073538,-0.0221214235963923
"331","A","i",33.7200996435082,-0.0221450796927797
"332","A","i",33.8505707796627,-0.0221699767883755
"333","A","i",33.9810419158172,-0.0221969237353353
"334","A","i",34.1115130519717,-0.0222250403563869
"335","A","i",34.2419841881261,-0.0222541345664674
"336","A","i",34.3724553242806,-0.0222847786841444
"337","A","i",34.5029264604351,-0.0223162965852331
"338","A","i",34.6333975965896,-0.0223485167204391
"339","A","i",34.763868732744,-0.0223817761758466
"340","A","i",34.8943398688985,-0.0224155789322729
"341","A","i",35.024811005053,-0.0224497906537307
"342","A","i",35.1552821412075,-0.0224845115768098
"343","A","i",35.2857532773619,-0.0225194023876167
"344","A","i",35.4162244135164,-0.0225543851867035
"345","A","i",35.5466955496709,-0.0225893199387265
"346","A","i",35.6771666858253,-0.0226240001976665
"347","A","i",35.8076378219798,-0.0226584267837682
"348","A","i",35.9381089581343,-0.0226922155677924
"349","A","i",36.0685800942888,-0.0227252675982596
"350","A","i",36.1990512304432,-0.0227576880411965
"351","A","i",36.3295223665977,-0.0227888460155257
"352","A","i",36.4599935027522,-0.0228187221266539
"353","A","i",36.5904646389067,-0.0228475548322513
"354","A","i",36.7209357750611,-0.0228744665894809
"355","A","i",36.8514069112156,-0.0228994862682386
"356","A","i",36.9818780473701,-0.0229230174984371
"357","A","i",37.1123491835245,-0.0229439403862765
"358","A","i",37.242820319679,-0.0229622970101522
"359","A","i",37.3732914558335,-0.022978690208124
