"","QCno","pr.y","group","metric"
"291",21,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"292",22,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"293",23,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"294",24,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"295",25,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"296",26,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"297",27,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"298",28,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"299",29,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"300",30,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"301",31,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"302",32,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"303",33,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"304",34,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"305",35,-0.166666666666667,"Moving Range CUSUM+","Peak Assymetry"
"306",36,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"307",37,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"308",38,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"309",39,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"310",40,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"311",41,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"312",42,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"313",43,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"314",44,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"315",45,-0.333333333333333,"Moving Range CUSUM+","Peak Assymetry"
"316",1,0,"Moving Range CUSUM-","Peak Assymetry"
"317",2,0,"Moving Range CUSUM-","Peak Assymetry"
"318",3,0,"Moving Range CUSUM-","Peak Assymetry"
"319",4,0,"Moving Range CUSUM-","Peak Assymetry"
"320",5,0,"Moving Range CUSUM-","Peak Assymetry"
"321",6,0,"Moving Range CUSUM-","Peak Assymetry"
"322",7,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"323",8,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"324",9,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"325",10,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
"326",11,-0.166666666666667,"Moving Range CUSUM-","Peak Assymetry"
